CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809942;Rei dos Ventos 3 Geradora de Energia S.A.;11637104000128;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809943;VENTOS DE SANTO ONOFRE I ENERGIAS RENOVÁVEIS S.A.;19022138000110;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809944;VENTOS DE SANTO ONOFRE II ENERGIAS RENOVÁVEIS S.A.;19022974000102;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809945;VENTOS DE SANTO ONOFRE III ENERGIAS RENOVÁVEIS S.A.;19023342000155;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809946;Ventus Holding de Energia Eólica Ltda.;06864892000155;;;;;;76.59000000;;;;;;;
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;812315;PÁTIO 2 SERVIÇOS E LOCAÇÃO DE EQUIPAMENTOS LTDA.;41770329000119;;;;;;100.00000000;;;;;;;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;790545;Visiona Tecnologia Espacial S.A.;13944554000199;;;;;;49.00000000;;;;;;;
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;793773;Atom Traders Publicações S.A.;23994857000170;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792918;CERAN - Cia Energética Rio das Antas;04237975000199;;;;;;5.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792919;Dona Francisca Energética S.A.;02832860000117;;;;;;2.12000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792920;Energen Energias Renováveis S.A;08207876000115;;;;;;99.99000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792921;Esmeralda S.A.;07264588000130;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792922;Macaúbas Energética S.A.;09194393000196;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792923;Moinho S.A.;09196223000140;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792924;Monel Monjolinho Energética S.A.;04834395000189;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792925;Morro do Cruzeiro I SA;42615130000189;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792926;Morro do Cruzeiro II SA;42625774000158;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792927;Novo Horizonte Energética S.A.;09214349000109;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792928;Oslo I SA;35637424000146;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792929;Oslo II SA;35637246000153;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792930;Oslo III SA;35636507000110;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792931;Oslo IV SA;35636502000198;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792932;Oslo IX SA;35654189000110;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792933;Oslo V SA;35636427000165;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792934;Oslo VI SA;35636424000121;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792935;Oslo VII SA;35637148000116;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792936;Oslo VIII SA;35639141000133;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792937;Oslo X SA;35654188000176;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792938;Oslo XI SA;42615131000123;;;;;;100.00000000;;;;;;;
