CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
03.758.318/0001-24;2024-12-31;3;139526;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;0;1;3;143057124;100.000000;286114248;100.000000;429171372;100.000000;2024-04-30
03.767.538/0001-14;2024-12-31;2;141800;BRAZILIAN SECURITIES CIA SECURITIZACAO;0;1;0;0;0.000000;0;0.000000;0;0.000000;2021-04-29
03.795.050/0001-09;2024-12-31;1;137713;TERMOPERNAMBUCO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-16
03.802.115/0001-98;2024-12-31;3;141996;CLEAR SALE S.A.;6373;57;129;55609742;29.591000;0;0.000000;55609742;29.591000;2022-12-31
03.818.379/0001-30;2024-12-31;1;138688;SABER SERVIÇOS EDUCACIONAIS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2024-04-29
03.820.456/0001-96;2024-12-31;1;138437;BSB ENERGÉTICA S.A.;0;2;0;272565;9.000000;0;0.000000;272565;9.000000;2024-05-27
03.847.461/0001-92;2024-12-31;5;141860;BRADESPAR S.A.;199403;10654;373;30318991;21.972000;250969312;98.378000;281288303;71.557000;2024-09-03
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;95740;1020;1255;302019876;33.336000;0;0.000000;302019876;33.336000;2024-04-29
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-26
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2024-04-08
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;1;1;0;2537890;100.000000;5075781;100.000000;7613671;100.000000;2024-04-29
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-29
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;3518;14;43;10169539;38.073000;0;0.000000;10169539;38.073000;2024-05-10
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-29
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2023-12-05
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;1;1;3;41007292;21.809000;0;0.000000;41007292;21.809000;2024-04-30
04.089.570/0001-50;2024-12-31;2;141637;ÁGUAS GUARIROBA S.A;0;2;0;1;0.000000;0;0.000000;1;0.000000;2024-04-26
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;29413;332;236;334032615;48.025000;0;0.000000;334032615;48.025000;2024-04-17
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-25
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-30
04.368.865/0001-66;2024-12-31;4;141664;LIGGA TELECOMUNICAÇÕES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2024-01-19
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;0;1;0;5372205948;100.000000;0;0.000000;5372205948;100.000000;2024-04-22
04.370.282/0001-70;2024-12-31;4;142072;COPEL GERAÇÃO E TRANSMISSÃO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;28871;150;826;1808999467;99.765000;0;0.000000;1808999467;99.765000;2024-09-30
04.739.720/0001-24;2024-12-31;1;139344;USINA TERMELÉTRICA PAMPA SUL S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2023-01-06
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;2053;118;0;89037212;70.196000;0;0.000000;89037212;70.196000;2024-04-17
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;306;16;1;4047781;64.391000;0;0.000000;4047781;64.391000;2024-06-28
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;3521;70;156;42028010;1.924000;2459948;55.908000;44487958;2.033000;2023-04-28
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;16026;570;3;1678339;2.994000;0;0.000000;1678339;2.994000;2023-09-19
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;218;1;0;24;0.343000;5;0.167000;29;0.290000;2001-04-30
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;219;119;1;2197;0.023000;0;0.000000;2197;0.023000;2024-04-24
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;4;2;0;0;0.000000;0;0.000000;0;0.000000;2024-04-26
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;11333;51;116;52255107;40.595000;0;0.000000;52255107;40.595000;2024-04-26
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;0;2;0;0;0.000000;0;0.000000;0;0.000000;2023-01-12
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;57149;253;1711;4779395040;63.392000;0;0.000000;4779395040;63.392000;2024-04-30
05.336.882/0001-84;2024-12-31;2;141586;CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.;0;1;0;20000000;100.000000;0;0.000000;20000000;100.000000;2023-07-27
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;3;1;1;0;0.000000;0;0.000000;0;0.000000;2024-03-28
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;58581;347;1209;492391336;87.859000;0;0.000000;492391336;87.859000;2024-04-30
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;5266;81;0;21189121;32.769000;0;0.000000;21189121;32.769000;2024-04-18
06.016.348/0001-53;2024-12-31;4;142106;VENTOS DO SUL ENERGIA S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2024-02-23
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;73356;1715;0;1145289019;50.028000;0;0.000000;1145289019;50.028000;2024-04-30
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;35769;2139;1313925;1349615620;99.817000;0;0.000000;1349615620;99.817000;2024-04-26
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;101313;323;104;0;0.000000;172421054;50.923000;172421054;5.384000;2023-04-30
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;1563;20;28;2421053;1.501000;19127;0.668000;2440180;1.486000;2024-04-29
06.347.409/0001-65;2024-12-31;1;138064;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-26
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;23688;56;151;180312899;30.997000;0;0.000000;180312899;30.997000;2024-04-29
06.977.745/0001-91;2024-12-31;2;141494;BR MALLS PARTICIPACOES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-30
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-29
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-29
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;0;86;1;63838800;19.903000;0;0.000000;63838800;19.903000;2023-06-20
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;4;5;0;21340663;11.479000;18169;31.625000;21358832;11.486000;2023-12-29
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2024-04-29
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;6482;83;133;1003692;2.088000;19198932;64.453000;20202624;25.949000;2024-04-30
07.119.838/0001-48;2024-12-31;1;138520;SECME - COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-12-07
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;49581;114;531;66385773;19.583000;0;0.000000;66385773;19.583000;2024-03-28
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;8939;1111;7;619240;0.627000;0;0.000000;619240;0.627000;2024-08-05
