CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Nordeste;0;0;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Norte;8;37;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Sudeste;7;14;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Sul;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Exterior;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Norte;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Sudeste;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Sul;0;0;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Centro-Oeste;1056;749;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Exterior;0;0;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Nordeste;2865;3075;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Norte;1003;785;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sudeste;11595;10648;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sul;1276;909;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Centro-Oeste;704;3799;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Exterior;0;0;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Nordeste;928;3122;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Norte;445;3403;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Sudeste;1147;3019;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Sul;9;72;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Centro-Oeste;16;174;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Exterior;0;0;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Nordeste;41;356;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Norte;0;0;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Sudeste;556;3896;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Sul;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Centro-Oeste;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Exterior;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Nordeste;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Norte;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Sudeste;13;18;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Sul;0;0;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Centro-Oeste;134;262;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Exterior;0;0;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Nordeste;243;388;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Norte;61;131;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sudeste;1789;2628;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sul;261;471;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Centro-Oeste;277;767;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Exterior;0;0;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Nordeste;1907;7937;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Norte;0;0;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Sudeste;1018;3769;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Sul;1;17;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Centro-Oeste;0;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Exterior;0;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Nordeste;0;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Norte;0;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sudeste;3;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sul;0;0;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Centro-Oeste;27;107;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Exterior;0;0;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Nordeste;32;205;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Norte;0;0;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Sudeste;366;1753;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Sul;555;2338;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Centro-Oeste;210;1051;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Exterior;0;0;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Nordeste;0;0;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Norte;2;4;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Sudeste;323;3132;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Sul;432;3160;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Centro-Oeste;0;0;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Exterior;0;0;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Nordeste;0;0;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Norte;0;0;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Sudeste;1079;5836;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Sul;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Centro-Oeste;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Exterior;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Nordeste;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Norte;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Sudeste;156;236;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Sul;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Centro-Oeste;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Exterior;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Nordeste;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Norte;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Sudeste;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Sul;0;0;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Centro-Oeste;21;43;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Exterior;0;0;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Nordeste;52;94;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Norte;18;63;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sudeste;1365;1060;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sul;50;97;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Centro-Oeste;131;938;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Exterior;0;0;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Nordeste;142;956;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Norte;70;419;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Sudeste;617;3058;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Sul;452;1671;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Centro-Oeste;8835;11438;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Exterior;2414;4261;0;0;0
