CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Exterior;0;0;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Nordeste;0;0;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Norte;0;0;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Sudeste;0;0;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Sul;0;0;0;0;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Centro-Oeste;0;30;5;26;0;0;3
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Exterior;0;0;0;0;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Nordeste;1;61;25;57;1;0;1
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Norte;0;41;0;39;0;0;1
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sudeste;16;1300;309;756;11;0;33
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sul;1;106;16;23;0;0;1
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Centro-Oeste;27;378;140;508;2;0;14
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Exterior;0;0;0;0;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Nordeste;22;327;169;566;4;0;10
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Norte;15;122;59;282;3;0;8
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Sudeste;68;2176;342;1057;6;0;26
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Sul;23;1571;112;388;4;0;25
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Centro-Oeste;336;3669;1870;13805;193;400;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Exterior;0;0;0;0;0;6675;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Nordeste;57;893;466;1854;16;128;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Norte;2;64;33;266;1;8;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Sudeste;225;6244;2131;5859;80;1048;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Sul;615;28218;5211;14009;370;1926;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Sudeste;0;0;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Exterior;0;0;0;0;0;0;1
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Nordeste;0;0;0;0;0;0;1488
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Norte;0;0;0;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Sudeste;0;0;0;0;0;0;3256
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Sul;0;0;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Exterior;0;0;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Nordeste;0;0;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Norte;0;0;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Sudeste;2;106;19;52;0;0;17
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Sul;0;0;0;0;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Centro-Oeste;0;0;0;0;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Exterior;0;0;0;0;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Nordeste;0;8;5;21;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Norte;0;0;0;0;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Sudeste;0;1;0;3;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Sul;0;0;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Sudeste;0;5;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0;0;0
